employee_id,age,gender,marital_status,education,education_field,department,job_role,business_travel,overtime,years_at_company,years_in_role,years_with_manager,num_companies_worked,monthly_income,percent_salary_hike,stock_option_level,performance_rating,job_satisfaction,environment_satisfaction,relationship_satisfaction,work_life_balance,job_involvement,training_times_last_year,distance_from_home,attrition
EMP-0001,41,Female,Married,Bachelor,Medical,Finance,Finance Analyst,Travel_Rarely,No,9,2,0,1,5546,20,1,2,3,1,2,3,1,2,8,No
EMP-0002,35,Female,Married,Bachelor,Technical Degree,Finance,Finance Analyst,Non-Travel,No,8,0,8,2,4698,19,3,3,1,1,4,3,4,4,3,No
EMP-0003,22,Male,Married,Master,Life Sciences,Finance,Accountant,Travel_Rarely,No,2,2,0,2,5422,21,1,4,4,3,3,4,2,2,2,No
EMP-0004,45,Male,Married,Master,Medical,Sales,Sales Representative,Non-Travel,No,5,2,0,2,4577,17,0,3,2,3,4,1,4,4,29,No
EMP-0005,31,Male,Married,Bachelor,Other,Finance,Accountant,Non-Travel,Yes,0,0,0,1,3446,18,0,3,2,3,4,3,3,6,21,Yes
EMP-0006,45,Male,Single,Master,Human Resources,Sales,Sales Representative,Travel_Rarely,No,2,2,1,2,4135,15,1,3,4,4,1,3,3,3,13,No
EMP-0007,43,Male,Single,Master,Other,Engineering,Data Analyst,Travel_Rarely,Yes,0,0,0,2,5994,19,2,4,4,2,3,3,2,4,3,Yes
EMP-0008,38,Male,Divorced,Bachelor,Marketing,Sales,Sales Manager,Travel_Frequently,No,2,2,0,1,4314,22,0,2,4,4,1,3,2,4,13,No
EMP-0009,42,Male,Divorced,Master,Medical,HR,Recruiter,Travel_Rarely,No,9,4,0,1,4740,11,0,3,3,3,3,4,3,2,8,No
EMP-0010,44,Male,Single,Master,Medical,Finance,Finance Analyst,Non-Travel,No,2,0,1,4,4739,14,1,3,2,3,3,3,4,3,11,No
EMP-0011,40,Male,Divorced,Bachelor,Technical Degree,Sales,Sales Representative,Non-Travel,No,10,2,2,1,3612,13,0,3,1,4,4,2,3,3,1,No
EMP-0012,50,Male,Single,Master,Human Resources,Operations,Operations Analyst,Travel_Rarely,No,7,1,2,3,4388,24,0,1,1,4,2,3,3,4,1,Yes
EMP-0013,29,Male,Divorced,Master,Other,Engineering,Data Analyst,Travel_Rarely,No,11,4,4,4,8598,19,1,3,2,4,3,3,3,1,20,No
EMP-0014,32,Male,Single,Bachelor,Human Resources,Sales,Sales Representative,Travel_Frequently,No,2,0,1,3,3030,15,0,4,3,3,1,2,3,3,4,No
EMP-0015,33,Male,Married,Master,Marketing,Engineering,Tech Lead,Travel_Frequently,No,2,2,1,5,7893,16,0,1,3,3,1,3,3,1,3,No
EMP-0016,34,Female,Divorced,Master,Human Resources,Engineering,Data Analyst,Travel_Frequently,No,2,0,2,1,5806,22,0,3,3,4,2,4,3,4,21,No
EMP-0017,31,Male,Married,Master,Marketing,Sales,Sales Manager,Non-Travel,No,4,4,1,4,5417,13,0,2,3,4,1,3,2,6,9,No
EMP-0018,33,Male,Married,Master,Medical,Finance,Finance Analyst,Travel_Frequently,No,5,0,5,1,5176,14,0,3,2,3,4,3,4,4,8,Yes
EMP-0019,23,Female,Divorced,Master,Medical,Operations,Operations Manager,Travel_Frequently,No,5,0,4,2,5475,23,0,4,1,4,3,4,4,4,1,No
EMP-0020,37,Female,Married,Bachelor,Technical Degree,Sales,Sales Executive,Travel_Frequently,No,18,6,1,4,4424,18,1,3,3,3,3,1,3,2,20,No
EMP-0021,39,Male,Married,PhD,Medical,Engineering,Software Engineer,Travel_Frequently,Yes,2,1,2,4,6570,13,0,3,3,4,3,4,2,4,20,No
EMP-0022,44,Male,Divorced,High School,Other,HR,HR Manager,Travel_Rarely,No,6,0,0,1,3320,13,1,2,4,3,3,3,3,3,7,No
EMP-0023,46,Female,Married,Bachelor,Human Resources,Marketing,Marketing Analyst,Travel_Rarely,Yes,1,1,1,5,3057,25,1,4,3,3,3,3,3,4,4,No
EMP-0024,48,Male,Married,PhD,Medical,Engineering,Tech Lead,Non-Travel,Yes,2,0,2,5,9147,13,1,1,2,3,4,1,3,3,1,Yes
EMP-0025,28,Female,Married,Master,Life Sciences,Engineering,Software Engineer,Non-Travel,No,0,0,0,4,6106,18,1,3,3,3,4,2,2,3,5,No
EMP-0026,45,Female,Married,Master,Human Resources,Marketing,Marketing Manager,Travel_Frequently,No,23,9,7,3,9324,18,0,3,4,3,4,4,3,4,7,No
EMP-0027,38,Male,Single,Bachelor,Human Resources,Marketing,Marketing Analyst,Non-Travel,No,5,0,3,2,4129,16,2,3,2,3,3,3,2,4,12,No
EMP-0028,40,Male,Single,High School,Marketing,Sales,Sales Representative,Travel_Rarely,No,8,3,1,5,3142,18,0,4,3,4,4,4,3,2,14,No
EMP-0029,48,Male,Divorced,Bachelor,Medical,Operations,Logistics Coordinator,Travel_Rarely,No,11,6,1,1,4241,15,1,3,3,1,3,4,3,2,1,No
EMP-0030,45,Female,Married,Master,Marketing,Operations,Operations Manager,Travel_Rarely,No,4,2,1,1,4960,14,2,2,4,2,1,4,1,1,15,No
EMP-0031,28,Female,Married,Master,Medical,Engineering,Data Analyst,Non-Travel,No,5,4,0,1,6144,24,1,3,4,3,4,2,3,3,6,No
EMP-0032,33,Male,Single,Master,Other,Engineering,Senior Engineer,Travel_Rarely,No,5,3,5,4,6667,12,1,3,4,4,3,1,3,3,1,Yes
EMP-0033,41,Male,Divorced,PhD,Other,Engineering,Data Analyst,Travel_Rarely,Yes,3,0,0,3,6986,23,1,3,3,3,3,4,3,3,27,No
EMP-0034,44,Male,Married,Bachelor,Technical Degree,Engineering,Software Engineer,Travel_Rarely,No,9,2,3,2,6435,24,1,3,3,3,3,2,3,3,1,No
EMP-0035,34,Female,Married,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,No,0,0,0,1,2743,18,0,4,1,2,3,3,3,3,8,Yes
EMP-0036,53,Male,Married,Bachelor,Life Sciences,Engineering,Data Analyst,Travel_Rarely,No,7,0,1,4,5265,19,3,4,3,2,4,2,3,4,9,No
EMP-0037,37,Male,Single,High School,Human Resources,Engineering,Tech Lead,Non-Travel,Yes,19,2,1,4,9558,18,0,3,4,3,4,2,1,2,21,No
EMP-0038,33,Male,Single,High School,Technical Degree,Engineering,Data Analyst,Travel_Rarely,Yes,1,0,0,1,3655,22,0,3,3,3,4,2,3,3,10,Yes
EMP-0039,35,Male,Married,Master,Technical Degree,Engineering,Data Analyst,Travel_Rarely,No,13,0,6,1,8886,12,0,3,4,2,2,3,2,2,8,No
EMP-0040,32,Male,Married,Bachelor,Marketing,Finance,Accountant,Travel_Rarely,No,14,3,6,1,6225,20,3,4,4,3,3,4,3,3,14,No
EMP-0041,36,Female,Divorced,Master,Human Resources,Sales,Sales Executive,Travel_Rarely,No,3,3,1,5,4235,22,1,3,3,2,3,3,3,4,6,Yes
