order_id,date,year,month,month_name,quarter,weekday,category,region,sales_rep,payment_mode,unit_price,quantity,discount_pct,revenue,cost,profit,profit_margin,age_segment,returned
ORD-01000,2023-01-01,2023,1,Jan,Q1,Sunday,Home & Living,North,Rep_09,Credit Card,4970.83,1,0,4970.83,3231.04,1739.79,35.0,18-25,False
ORD-01001,2023-01-01,2023,1,Jan,Q1,Sunday,Home & Living,East,Rep_19,Debit Card,22807.39,1,5,21667.02,14083.56,7583.46,35.0,18-25,False
ORD-01002,2023-01-01,2023,1,Jan,Q1,Sunday,Food & Grocery,North,Rep_07,UPI,115.49,4,10,415.76,324.29,91.47,22.0,36-45,False
ORD-01003,2023-01-01,2023,1,Jan,Q1,Sunday,Food & Grocery,South,Rep_01,UPI,541.72,1,0,541.72,422.54,119.18,22.0,26-35,False
ORD-01004,2023-01-01,2023,1,Jan,Q1,Sunday,Clothing,North,Rep_11,Credit Card,3038.27,1,0,3038.27,1762.2,1276.07,42.0,26-35,False
ORD-01005,2023-01-01,2023,1,Jan,Q1,Sunday,Clothing,South,Rep_02,UPI,2414.67,1,0,2414.67,1400.51,1014.16,42.0,36-45,False
ORD-01006,2023-01-01,2023,1,Jan,Q1,Sunday,Clothing,East,Rep_20,Cash,2676.25,1,0,2676.25,1552.22,1124.03,42.0,26-35,False
ORD-01007,2023-01-01,2023,1,Jan,Q1,Sunday,Electronics,West,Rep_10,Net Banking,80861.32,1,0,80861.32,66306.28,14555.04,18.0,46-55,False
ORD-01008,2023-01-01,2023,1,Jan,Q1,Sunday,Food & Grocery,East,Rep_12,Credit Card,1576.49,1,5,1497.67,1168.18,329.49,22.0,26-35,False
ORD-01009,2023-01-01,2023,1,Jan,Q1,Sunday,Home & Living,West,Rep_03,UPI,5613.41,1,20,4490.73,2918.97,1571.76,35.0,26-35,False
ORD-01010,2023-01-01,2023,1,Jan,Q1,Sunday,Electronics,South,Rep_18,Credit Card,78072.74,2,0,156145.48,128039.29,28106.19,18.0,26-35,False
ORD-01011,2023-01-01,2023,1,Jan,Q1,Sunday,Electronics,West,Rep_11,Debit Card,13210.93,1,0,13210.93,10832.96,2377.97,18.0,18-25,False
ORD-01012,2023-01-01,2023,1,Jan,Q1,Sunday,Food & Grocery,West,Rep_07,UPI,418.79,1,0,418.79,326.66,92.13,22.0,26-35,False
ORD-01013,2023-01-01,2023,1,Jan,Q1,Sunday,Food & Grocery,South,Rep_08,UPI,2163.94,1,5,2055.74,1603.48,452.26,22.0,36-45,False
ORD-01014,2023-01-01,2023,1,Jan,Q1,Sunday,Food & Grocery,East,Rep_12,Credit Card,854.37,1,0,854.37,666.41,187.96,22.0,55+,False
ORD-01015,2023-01-01,2023,1,Jan,Q1,Sunday,Electronics,North,Rep_04,Credit Card,20881.78,4,10,75174.41,61643.02,13531.39,18.0,26-35,False
ORD-01016,2023-01-02,2023,1,Jan,Q1,Monday,Food & Grocery,South,Rep_20,Net Banking,152.77,1,0,152.77,119.16,33.61,22.0,36-45,False
ORD-01017,2023-01-02,2023,1,Jan,Q1,Monday,Sports & Fitness,North,Rep_04,UPI,10031.9,2,0,20063.8,14044.66,6019.14,30.0,36-45,False
ORD-01018,2023-01-02,2023,1,Jan,Q1,Monday,Home & Living,North,Rep_14,Credit Card,8490.33,1,0,8490.33,5518.71,2971.62,35.0,18-25,False
ORD-01019,2023-01-02,2023,1,Jan,Q1,Monday,Home & Living,Central,Rep_06,UPI,20153.83,1,25,15115.37,9824.99,5290.38,35.0,18-25,False
ORD-01020,2023-01-02,2023,1,Jan,Q1,Monday,Sports & Fitness,East,Rep_07,Credit Card,24517.03,1,0,24517.03,17161.92,7355.11,30.0,46-55,False
ORD-01021,2023-01-03,2023,1,Jan,Q1,Tuesday,Sports & Fitness,East,Rep_01,UPI,23191.36,2,0,46382.72,32467.9,13914.82,30.0,36-45,False
ORD-01022,2023-01-03,2023,1,Jan,Q1,Tuesday,Clothing,Central,Rep_10,Credit Card,3059.54,1,15,2600.61,1508.35,1092.26,42.0,26-35,False
ORD-01023,2023-01-03,2023,1,Jan,Q1,Tuesday,Electronics,West,Rep_03,Net Banking,64932.54,1,0,64932.54,53244.68,11687.86,18.0,36-45,False
ORD-01024,2023-01-03,2023,1,Jan,Q1,Tuesday,Home & Living,Central,Rep_06,Credit Card,8119.07,1,5,7713.12,5013.53,2699.59,35.0,46-55,False
ORD-01025,2023-01-03,2023,1,Jan,Q1,Tuesday,Clothing,East,Rep_07,UPI,5469.27,2,0,10938.54,6344.35,4594.19,42.0,26-35,False
ORD-01026,2023-01-03,2023,1,Jan,Q1,Tuesday,Clothing,Central,Rep_15,Credit Card,1220.0,1,10,1098.0,636.84,461.16,42.0,26-35,False
ORD-01027,2023-01-03,2023,1,Jan,Q1,Tuesday,Food & Grocery,South,Rep_08,Credit Card,1353.87,2,0,2707.74,2112.04,595.7,22.0,36-45,False
ORD-01028,2023-01-03,2023,1,Jan,Q1,Tuesday,Electronics,North,Rep_11,Credit Card,52743.7,1,0,52743.7,43249.83,9493.87,18.0,26-35,False
ORD-01029,2023-01-03,2023,1,Jan,Q1,Tuesday,Clothing,North,Rep_19,UPI,1299.35,1,5,1234.38,715.94,518.44,42.0,26-35,False
ORD-01030,2023-01-03,2023,1,Jan,Q1,Tuesday,Food & Grocery,North,Rep_14,Debit Card,943.2,1,15,801.72,625.34,176.38,22.0,26-35,False
ORD-01031,2023-01-03,2023,1,Jan,Q1,Tuesday,Electronics,West,Rep_04,Credit Card,28130.35,1,10,25317.32,20760.2,4557.12,18.0,36-45,False
ORD-01032,2023-01-03,2023,1,Jan,Q1,Tuesday,Electronics,North,Rep_18,Debit Card,25025.67,1,0,25025.67,20521.05,4504.62,18.0,26-35,False
ORD-01033,2023-01-03,2023,1,Jan,Q1,Tuesday,Clothing,Central,Rep_15,UPI,1540.57,3,10,4159.54,2412.53,1747.01,42.0,46-55,False
ORD-01034,2023-01-04,2023,1,Jan,Q1,Wednesday,Home & Living,East,Rep_01,Net Banking,23486.09,1,10,21137.48,13739.36,7398.12,35.0,55+,False
ORD-01035,2023-01-04,2023,1,Jan,Q1,Wednesday,Electronics,East,Rep_07,Cash,80303.46,1,0,80303.46,65848.84,14454.62,18.0,55+,False
ORD-01036,2023-01-04,2023,1,Jan,Q1,Wednesday,Electronics,South,Rep_15,Credit Card,20606.15,1,10,18545.54,15207.34,3338.2,18.0,36-45,False
ORD-01037,2023-01-04,2023,1,Jan,Q1,Wednesday,Sports & Fitness,West,Rep_16,Credit Card,31120.0,1,0,31120.0,21784.0,9336.0,30.0,26-35,False
ORD-01038,2023-01-04,2023,1,Jan,Q1,Wednesday,Food & Grocery,East,Rep_11,Credit Card,1126.29,1,0,1126.29,878.51,247.78,22.0,36-45,False
ORD-01039,2023-01-04,2023,1,Jan,Q1,Wednesday,Sports & Fitness,North,Rep_17,Credit Card,12257.11,3,0,36771.33,25739.93,11031.4,30.0,26-35,False
ORD-01040,2023-01-04,2023,1,Jan,Q1,Wednesday,Home & Living,South,Rep_04,Cash,12549.85,1,0,12549.85,8157.4,4392.45,35.0,36-45,False
ORD-01041,2023-01-04,2023,1,Jan,Q1,Wednesday,Electronics,North,Rep_19,UPI,95089.05,4,0,380356.2,311892.08,68464.12,18.0,26-35,False
ORD-01042,2023-01-04,2023,1,Jan,Q1,Wednesday,Home & Living,South,Rep_09,Debit Card,12048.46,1,0,12048.46,7831.5,4216.96,35.0,36-45,False
ORD-01043,2023-01-04,2023,1,Jan,Q1,Wednesday,Clothing,West,Rep_03,Credit Card,699.68,1,0,699.68,405.81,293.87,42.0,36-45,False
ORD-01044,2023-01-04,2023,1,Jan,Q1,Wednesday,Electronics,East,Rep_17,Credit Card,7582.32,1,15,6444.97,5284.88,1160.09,18.0,55+,False
ORD-01045,2023-01-04,2023,1,Jan,Q1,Wednesday,Sports & Fitness,South,Rep_06,Debit Card,7405.45,1,0,7405.45,5183.81,2221.64,30.0,36-45,False
ORD-01046,2023-01-04,2023,1,Jan,Q1,Wednesday,Beauty & Personal Care,West,Rep_17,Credit Card,5916.48,1,5,5620.66,2922.74,2697.92,48.0,46-55,False
ORD-01047,2023-01-05,2023,1,Jan,Q1,Thursday,Home & Living,Central,Rep_05,Credit Card,18341.3,1,5,17424.23,11325.75,6098.48,35.0,46-55,False
ORD-01048,2023-01-05,2023,1,Jan,Q1,Thursday,Electronics,South,Rep_07,UPI,52201.97,1,0,52201.97,42805.62,9396.35,18.0,26-35,False
ORD-01049,2023-01-05,2023,1,Jan,Q1,Thursday,Clothing,East,Rep_02,Credit Card,7068.24,1,0,7068.24,4099.58,2968.66,42.0,26-35,False
ORD-01050,2023-01-05,2023,1,Jan,Q1,Thursday,Electronics,West,Rep_09,Credit Card,7612.27,1,5,7231.66,5929.96,1301.7,18.0,26-35,False
ORD-01051,2023-01-05,2023,1,Jan,Q1,Thursday,Food & Grocery,North,Rep_05,UPI,104.24,1,0,104.24,81.31,22.93,22.0,46-55,False
ORD-01052,2023-01-05,2023,1,Jan,Q1,Thursday,Electronics,North,Rep_10,Debit Card,64289.8,1,5,61075.31,50081.75,10993.56,18.0,55+,False
ORD-01053,2023-01-05,2023,1,Jan,Q1,Thursday,Electronics,South,Rep_08,UPI,32976.68,3,0,98930.04,81122.63,17807.41,18.0,26-35,False
ORD-01054,2023-01-05,2023,1,Jan,Q1,Thursday,Sports & Fitness,Central,Rep_05,Cash,10759.14,1,20,8607.31,6025.12,2582.19,30.0,26-35,False
ORD-01055,2023-01-05,2023,1,Jan,Q1,Thursday,Sports & Fitness,North,Rep_14,Credit Card,30381.06,1,5,28862.01,20203.41,8658.6,30.0,46-55,False
ORD-01056,2023-01-05,2023,1,Jan,Q1,Thursday,Beauty & Personal Care,West,Rep_08,Credit Card,4936.24,1,0,4936.24,2566.84,2369.4,48.0,46-55,False
ORD-01057,2023-01-05,2023,1,Jan,Q1,Thursday,Sports & Fitness,Central,Rep_08,Credit Card,7862.09,1,15,6682.78,4677.95,2004.83,30.0,55+,False
ORD-01058,2023-01-05,2023,1,Jan,Q1,Thursday,Sports & Fitness,Central,Rep_08,Credit Card,27092.21,1,0,27092.21,18964.55,8127.66,30.0,26-35,False
ORD-01059,2023-01-05,2023,1,Jan,Q1,Thursday,Sports & Fitness,Central,Rep_09,Debit Card,10996.92,1,15,9347.38,6543.17,2804.21,30.0,36-45,False
ORD-01060,2023-01-06,2023,1,Jan,Q1,Friday,Sports & Fitness,South,Rep_01,Credit Card,5243.58,2,5,9962.8,6973.96,2988.84,30.0,55+,False
ORD-01061,2023-01-06,2023,1,Jan,Q1,Friday,Beauty & Personal Care,South,Rep_04,UPI,184.88,1,5,175.64,91.33,84.31,48.0,26-35,False
ORD-01062,2023-01-06,2023,1,Jan,Q1,Friday,Food & Grocery,Central,Rep_04,Debit Card,62.4,1,0,62.4,48.67,13.73,22.0,36-45,False
ORD-01063,2023-01-06,2023,1,Jan,Q1,Friday,Home & Living,North,Rep_18,UPI,20069.14,1,0,20069.14,13044.94,7024.2,35.0,55+,False
ORD-01064,2023-01-06,2023,1,Jan,Q1,Friday,Electronics,East,Rep_11,UPI,64468.64,1,0,64468.64,52864.28,11604.36,18.0,36-45,False
ORD-01065,2023-01-06,2023,1,Jan,Q1,Friday,Beauty & Personal Care,East,Rep_14,Debit Card,3959.0,1,10,3563.1,1852.81,1710.29,48.0,36-45,False
ORD-01066,2023-01-06,2023,1,Jan,Q1,Friday,Electronics,West,Rep_13,UPI,68309.11,1,0,68309.11,56013.47,12295.64,18.0,55+,False
ORD-01067,2023-01-06,2023,1,Jan,Q1,Friday,Clothing,East,Rep_01,Debit Card,3287.32,1,0,3287.32,1906.65,1380.67,42.0,26-35,False
ORD-01068,2023-01-06,2023,1,Jan,Q1,Friday,Food & Grocery,South,Rep_15,Debit Card,2312.19,1,15,1965.36,1532.98,432.38,22.0,26-35,False
ORD-01069,2023-01-06,2023,1,Jan,Q1,Friday,Beauty & Personal Care,West,Rep_06,UPI,3853.22,2,0,7706.44,4007.35,3699.09,48.0,26-35,False
ORD-01070,2023-01-06,2023,1,Jan,Q1,Friday,Food & Grocery,North,Rep_08,UPI,1682.92,1,0,1682.92,1312.68,370.24,22.0,26-35,False
ORD-01071,2023-01-07,2023,1,Jan,Q1,Saturday,Electronics,South,Rep_16,UPI,4744.21,1,0,4744.21,3890.25,853.96,18.0,46-55,False
ORD-01072,2023-01-07,2023,1,Jan,Q1,Saturday,Sports & Fitness,East,Rep_13,Debit Card,29674.46,3,15,75669.87,52968.91,22700.96,30.0,26-35,False
ORD-01073,2023-01-07,2023,1,Jan,Q1,Saturday,Electronics,West,Rep_04,UPI,40023.61,1,20,32018.89,26255.49,5763.4,18.0,26-35,False
ORD-01074,2023-01-07,2023,1,Jan,Q1,Saturday,Home & Living,East,Rep_18,Credit Card,11540.04,4,20,36928.13,24003.28,12924.85,35.0,46-55,False
ORD-01075,2023-01-07,2023,1,Jan,Q1,Saturday,Sports & Fitness,West,Rep_18,UPI,30849.46,1,0,30849.46,21594.62,9254.84,30.0,55+,False
ORD-01076,2023-01-07,2023,1,Jan,Q1,Saturday,Food & Grocery,West,Rep_17,Debit Card,2562.34,1,0,2562.34,1998.63,563.71,22.0,55+,False
ORD-01077,2023-01-07,2023,1,Jan,Q1,Saturday,Electronics,Central,Rep_15,Credit Card,48657.7,3,5,138674.44,113713.04,24961.4,18.0,26-35,False
ORD-01078,2023-01-07,2023,1,Jan,Q1,Saturday,Home & Living,East,Rep_08,Credit Card,15189.83,1,5,14430.34,9379.72,5050.62,35.0,18-25,False
