date,ticker,sector,year,month,quarter,open,high,low,close,volume,ma_20,rsi,daily_return_pct,beta,div_yield
2020-01-01,RELIANCE,Energy,2020,1,Q1,1365.2,1374.48,1362.96,1369.91,4219055,1369.91,43.3,-2.149,1.1,0.5
2020-01-02,RELIANCE,Energy,2020,1,Q1,1350.59,1367.07,1337.36,1354.88,2147605,1354.88,41.8,-1.0976,1.1,0.5
2020-01-03,RELIANCE,Energy,2020,1,Q1,1372.53,1389.5,1354.66,1377.49,965980,1377.49,56.6,1.6691,1.1,0.5
2020-01-06,RELIANCE,Energy,2020,1,Q1,1361.24,1382.32,1328.48,1361.05,5273349,1361.05,48.3,-1.1938,1.1,0.5
2020-01-07,RELIANCE,Energy,2020,1,Q1,1340.17,1369.45,1325.57,1345.59,6975760,1345.59,29.2,-1.1359,1.1,0.5
2020-01-08,RELIANCE,Energy,2020,1,Q1,1337.53,1342.67,1319.07,1332.08,3254592,1332.08,37.4,-1.0041,1.1,0.5
2020-01-09,RELIANCE,Energy,2020,1,Q1,1401.62,1440.22,1395.97,1406.06,8494349,1406.06,90.0,5.5536,1.1,0.5
2020-01-10,RELIANCE,Energy,2020,1,Q1,1418.84,1418.58,1383.93,1412.88,6618695,1412.88,34.2,0.4855,1.1,0.5
2020-01-13,RELIANCE,Energy,2020,1,Q1,1382.23,1414.57,1362.13,1385.39,921137,1385.39,31.5,-1.9454,1.1,0.5
2020-01-14,RELIANCE,Energy,2020,1,Q1,1359.21,1360.14,1351.99,1355.11,3640177,1355.11,50.0,-2.1859,1.1,0.5
2020-01-15,RELIANCE,Energy,2020,1,Q1,1374.58,1398.51,1339.49,1371.44,6650474,1371.44,50.4,1.2052,1.1,0.5
2020-01-16,RELIANCE,Energy,2020,1,Q1,1325.4,1343.39,1307.89,1331.21,7879047,1331.21,44.5,-2.9336,1.1,0.5
2020-01-17,RELIANCE,Energy,2020,1,Q1,1353.54,1360.34,1342.27,1353.91,4144319,1353.91,69.0,1.7054,1.1,0.5
2020-01-20,RELIANCE,Energy,2020,1,Q1,1394.63,1414.27,1373.56,1394.71,4284631,1394.71,46.1,3.0135,1.1,0.5
2020-01-21,RELIANCE,Energy,2020,1,Q1,1356.38,1387.29,1330.14,1356.27,7526895,1356.27,32.6,-2.7566,1.1,0.5
2020-01-22,RELIANCE,Energy,2020,1,Q1,1330.13,1347.36,1307.34,1335.78,5926646,1335.78,59.6,-1.5102,1.1,0.5
2020-01-23,RELIANCE,Energy,2020,1,Q1,1354.76,1377.4,1321.8,1349.75,8256813,1349.75,70.9,1.0454,1.1,0.5
2020-01-24,RELIANCE,Energy,2020,1,Q1,1392.62,1400.04,1355.95,1387.12,3761929,1387.12,53.0,2.7688,1.1,0.5
2020-01-27,RELIANCE,Energy,2020,1,Q1,1427.97,1425.91,1403.98,1422.83,2588108,1422.83,59.6,2.5745,1.1,0.5
2020-01-28,RELIANCE,Energy,2020,1,Q1,1410.15,1445.89,1387.63,1412.44,2593945,1412.44,47.1,-0.7306,1.1,0.5
2020-01-29,RELIANCE,Energy,2020,1,Q1,1393.35,1420.28,1360.17,1386.81,10050842,1370.79,40.8,-1.8147,1.1,0.5
2020-01-30,RELIANCE,Energy,2020,1,Q1,1351.8,1379.84,1339.84,1358.09,1477601,1371.64,21.7,-2.0711,1.1,0.5
2020-01-31,RELIANCE,Energy,2020,1,Q1,1368.07,1378.96,1352.8,1371.65,2657182,1371.8,74.4,0.9985,1.1,0.5
2020-02-03,RELIANCE,Energy,2020,2,Q1,1396.85,1403.61,1381.71,1393.21,1302981,1371.51,52.6,1.5718,1.1,0.5
2020-02-04,RELIANCE,Energy,2020,2,Q1,1433.21,1438.54,1424.41,1432.7,9957739,1373.12,57.0,2.8349,1.1,0.5
2020-02-05,RELIANCE,Energy,2020,2,Q1,1474.7,1502.28,1452.54,1481.87,6575568,1377.47,73.0,3.4316,1.1,0.5
2020-02-06,RELIANCE,Energy,2020,2,Q1,1496.68,1533.66,1465.66,1498.38,1572610,1384.96,49.2,1.1145,1.1,0.5
2020-02-07,RELIANCE,Energy,2020,2,Q1,1490.97,1519.54,1470.38,1488.59,5100746,1389.58,47.9,-0.6538,1.1,0.5
2020-02-10,RELIANCE,Energy,2020,2,Q1,1485.68,1513.41,1464.36,1479.8,2772629,1393.36,40.6,-0.5899,1.1,0.5
2020-02-11,RELIANCE,Energy,2020,2,Q1,1524.68,1552.68,1507.93,1518.65,1633577,1398.08,68.8,2.6254,1.1,0.5
2020-02-12,RELIANCE,Energy,2020,2,Q1,1518.77,1532.87,1511.39,1526.26,6439240,1406.26,32.7,0.5006,1.1,0.5
