date,city,year,month,month_name,season,temp_max,temp_min,temp_avg,rainfall_mm,humidity_pct,wind_kmph,visibility_km,aqi,condition
2015-01-01,Mumbai,2015,1,Jan,Winter,26.7,19.8,23.2,0.0,81,30.2,13.8,112,Clear
2015-01-02,Mumbai,2015,1,Jan,Winter,28.4,20.9,24.6,0.1,75,13.8,12.1,92,Light Rain
2015-01-03,Mumbai,2015,1,Jan,Winter,22.1,21.1,21.6,0.0,82,5.8,12.9,97,Clear
2015-01-04,Mumbai,2015,1,Jan,Winter,24.9,17.4,21.1,0.0,74,22.8,25.0,131,Clear
2015-01-05,Mumbai,2015,1,Jan,Winter,26.2,19.4,22.8,0.0,74,25.6,16.5,100,Clear
2015-01-06,Mumbai,2015,1,Jan,Winter,24.5,19.8,22.1,0.0,75,18.0,13.9,131,Clear
2015-01-07,Mumbai,2015,1,Jan,Winter,24.1,21.3,22.7,0.0,91,27.5,8.1,146,Foggy
2015-01-08,Mumbai,2015,1,Jan,Winter,24.5,18.1,21.3,1.3,75,26.5,16.7,67,Light Rain
2015-01-09,Mumbai,2015,1,Jan,Winter,26.5,19.5,23.0,0.0,74,22.9,20.2,147,Clear
2015-01-10,Mumbai,2015,1,Jan,Winter,24.7,19.6,22.1,8.0,70,26.8,14.1,107,Light Rain
2015-01-11,Mumbai,2015,1,Jan,Winter,27.8,18.9,23.4,0.0,82,20.4,9.8,117,Clear
2015-01-12,Mumbai,2015,1,Jan,Winter,27.5,21.0,24.2,0.0,85,20.7,25.0,92,Clear
2015-01-13,Mumbai,2015,1,Jan,Winter,25.4,19.9,22.6,0.5,78,15.6,15.5,60,Light Rain
2015-01-14,Mumbai,2015,1,Jan,Winter,25.7,20.4,23.0,0.0,85,13.9,11.0,104,Clear
2015-01-15,Mumbai,2015,1,Jan,Winter,27.4,20.4,23.9,0.0,75,22.1,15.5,149,Clear
2015-01-16,Mumbai,2015,1,Jan,Winter,24.9,19.6,22.2,0.0,76,6.3,16.5,127,Clear
2015-01-17,Mumbai,2015,1,Jan,Winter,26.0,19.7,22.9,0.0,70,14.6,13.3,95,Clear
2015-01-18,Mumbai,2015,1,Jan,Winter,25.8,20.5,23.1,0.0,87,19.4,16.3,117,Foggy
2015-01-19,Mumbai,2015,1,Jan,Winter,23.1,20.0,21.6,0.0,78,37.7,14.0,129,Clear
2015-01-20,Mumbai,2015,1,Jan,Winter,25.9,18.6,22.2,17.0,81,8.8,11.1,143,Rainy
2015-01-21,Mumbai,2015,1,Jan,Winter,24.8,21.7,23.2,0.0,85,29.1,10.6,122,Clear
2015-01-22,Mumbai,2015,1,Jan,Winter,25.3,21.1,23.2,0.0,86,25.0,15.0,109,Foggy
2015-01-23,Mumbai,2015,1,Jan,Winter,27.0,18.5,22.8,0.0,80,10.7,18.1,115,Clear
2015-01-24,Mumbai,2015,1,Jan,Winter,25.4,18.9,22.1,0.0,76,22.4,20.2,135,Clear
2015-01-25,Mumbai,2015,1,Jan,Winter,28.0,23.0,25.5,0.0,76,16.4,7.8,155,Clear
2015-01-26,Mumbai,2015,1,Jan,Winter,27.9,19.0,23.4,0.0,81,27.7,16.1,145,Clear
2015-01-27,Mumbai,2015,1,Jan,Winter,26.3,18.5,22.4,4.7,72,23.3,10.1,143,Light Rain
2015-01-28,Mumbai,2015,1,Jan,Winter,27.7,19.0,23.4,4.2,80,25.5,10.7,124,Light Rain
2015-01-29,Mumbai,2015,1,Jan,Winter,23.9,19.1,21.5,0.0,82,16.1,21.0,136,Clear
2015-01-30,Mumbai,2015,1,Jan,Winter,30.1,20.1,25.1,0.0,70,17.7,10.2,149,Clear
2015-01-31,Mumbai,2015,1,Jan,Winter,26.1,19.8,23.0,0.0,77,23.9,12.7,143,Clear
2015-02-01,Mumbai,2015,2,Feb,Winter,29.6,21.6,25.6,0.0,73,13.9,18.6,122,Clear
2015-02-02,Mumbai,2015,2,Feb,Winter,28.9,24.1,26.5,0.0,79,11.5,20.3,121,Clear
2015-02-03,Mumbai,2015,2,Feb,Winter,29.3,23.3,26.3,0.0,73,29.1,19.5,101,Clear
2015-02-04,Mumbai,2015,2,Feb,Winter,28.5,22.3,25.4,0.0,78,25.0,22.2,120,Clear
2015-02-05,Mumbai,2015,2,Feb,Winter,30.0,23.2,26.6,0.0,79,19.4,9.2,74,Clear
2015-02-06,Mumbai,2015,2,Feb,Winter,28.2,21.0,24.6,0.0,77,13.7,6.1,130,Clear
2015-02-07,Mumbai,2015,2,Feb,Winter,27.4,22.1,24.8,0.0,73,15.3,22.8,123,Clear
2015-02-08,Mumbai,2015,2,Feb,Winter,28.8,20.5,24.6,0.0,89,32.7,10.9,144,Foggy
2015-02-09,Mumbai,2015,2,Feb,Winter,28.0,22.5,25.2,0.0,83,13.0,12.8,69,Clear
2015-02-10,Mumbai,2015,2,Feb,Winter,26.8,24.0,25.4,0.0,76,15.5,16.6,71,Clear
2015-02-11,Mumbai,2015,2,Feb,Winter,29.4,23.5,26.4,1.3,88,26.3,7.4,105,Light Rain
2015-02-12,Mumbai,2015,2,Feb,Winter,29.9,21.2,25.5,0.0,80,24.2,10.4,118,Clear
2015-02-13,Mumbai,2015,2,Feb,Winter,23.1,20.8,22.0,0.0,76,8.0,23.2,77,Clear
2015-02-14,Mumbai,2015,2,Feb,Winter,27.3,22.2,24.8,1.9,78,36.8,17.0,147,Light Rain
2015-02-15,Mumbai,2015,2,Feb,Winter,27.7,22.1,24.9,0.0,81,19.0,5.5,158,Clear
2015-02-16,Mumbai,2015,2,Feb,Winter,27.1,24.5,25.8,0.0,81,18.6,17.2,116,Clear
2015-02-17,Mumbai,2015,2,Feb,Winter,27.3,22.2,24.8,0.0,82,14.3,11.9,109,Clear
2015-02-18,Mumbai,2015,2,Feb,Winter,29.4,23.7,26.5,0.0,79,22.7,11.9,146,Clear
